canonical_smiles,pIC50,set
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)Nc1ccc2scnc2c1,6.93,Train
COc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1OC,6.94,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)Nc1ccccc1,7.01,Train
Cc1ccc2[nH]cc(CCNC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)c2c1,7.12,Train
CCOc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,6.9,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1ccc(C(F)F)cc1,7.3,Train
CCOc1ccccc1CNC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.94,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1ccc(C(F)(F)F)cc1,7.15,Train
CN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2F)CC1,7.24,Train
CCc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,6.99,Train
CCOc1cccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)c1,7.05,Train
Cc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,6.96,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NC(c1ccccc1)c1ccccc1,7.04,Train
CN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2)CC1,6.69,Train
COc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,7.08,Train
CCN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2)CC1,7.55,Train
COc1cccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)c1,7.08,Train
COc1ccccc1CNC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.96,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1ccc(Cl)cc1Cl,6.97,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1ccc(Cl)c(Cl)c1,7.15,Train
CCN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2F)CC1,7.43,Train
Cc1ccc(CCNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,7.12,Train
CO[C@H]1CC[C@@H]2C(=O)N(c3cncc4ccccc34)C(=O)N2C1,4.22,Train
CO[C@H]1CC[C@@H]2C(=O)N(c3cncc4ccccc34)C(=O)N2C1,4.43,Train
O=C1[C@@H]2CN(Cc3ccccc3)CCN2C(=O)N1c1cncc2ccccc12,5.54,Train
C[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@@H]2C1,4.12,Train
C[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@@H]2C1,4.1,Train
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2C)c2cc(Cl)ccc2C1=O,5.62,Train
O=C1N[C@]2(C[C@H](c3ccccc3)C2)C(=O)N1c1cncc2ccccc12,6.69,Train
C[C@H]1CC[C@]2(CO1)NC(=O)N(c1cncc3ccccc13)C2=O,4.19,Train
C[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@H]2C1,4.12,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)CC2(C)C)c2cc(Cl)ccc2C1=O,5.18,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)Nc1ccc(C(F)(F)F)cn1,6.39,Train
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,8.68,Train
C[C@H]1OCCC[C@]12NC(=O)N(c1cncc3ccccc13)C2=O,4.02,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2COC)c2cc(Cl)ccc2C1=O,5.73,Train
CCS(=O)(=O)N1CC2(C1)C(=O)N(c1cncc3ccccc13)C(=O)N2C,4.76,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,5.39,Train
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)C1CC1)C2,4.74,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2Cc2ccccc2)c2cc(Cl)ccc2C1=O,5.81,Train
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2Cc2ccccc2)c2cc(Cl)ccc2C1=O,5.43,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2CO)c2cc(Cl)ccc2C1=O,6.38,Train
O=C1C[C@H](Cc2ccccc2)CN1c1cncc2ccccc12,4.91,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cc2ccccc2)c2cc(Cl)ccc2C1=O,5.2,Train
O=C1N[C@]2(CCOc3ccncc32)C(=O)N1c1cncc2ccccc12,4.27,Train
NS(=O)(=O)c1ccc2c(c1)[C@]1(CCO2)NC(=O)N(c2cncc3ccccc23)C1=O,4.65,Train
C[C@H]1COC[C@@]2(C1)NC(=O)N(c1cncc3ccccc13)C2=O,4.24,Train
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)c1ccccc1)C2,5.12,Train
CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(c1cncc3ccccc13)C2=O,4.47,Train
C[C@H]1COC[C@]2(C1)NC(=O)N(c1cncc3ccccc13)C2=O,5.21,Train
NS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)c2ccsc2)[C@H](C(=O)NCc2ccccn2)C1,4.09,Train
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(=O)O,5.49,Train
O=C1[C@H](c2ccc(Cl)c(Cl)c2)C[C@H](O)CN1c1cncc2ccccc12,5.47,Train
CNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H](CC(C)C)C1,5.78,Train
C[C@H](NC(=O)COS(N)(=O)=O)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,5.75,Train
CC(C)C[C@H]1CN(C(=O)COS(N)(=O)=O)CCN1Cc1cccc(Cl)c1,5.17,Train
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N(C)C)CCN1Cc1cccc(Cl)c1,5.99,Train
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(=O)NCC,5.77,Train
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(N)=O,5.19,Train
C[C@H]1CC[C@]2(CN1S(C)(=O)=O)NC(=O)N(c1cncc3ccccc13)C2=O,4.45,Train
O=C1N[C@H](Cc2ccccc2)C(=O)N1c1cncc2ccccc12,4.5,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2CO)c2cc(Cl)ccc2C1=O,6.47,Train
O=C1C[C@H](Cc2ccccc2)C(=O)N1c1cncc2ccccc12,4.62,Train
O=C1N[C@H](CC2CC2)C(=O)N1c1cncc2ccccc12,4.31,Train
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cc2ccccc2)c2cc(Cl)ccc2C1=O,7.16,Train
O=C1N[C@@H](Cc2ccccc2)C(=O)N1c1cncc2ccccc12,4.4,Train
NC(=O)c1ccc2c(c1)[C@]1(CCO2)NC(=O)N(c2cncc3ccccc23)C1=O,4.85,Train
C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(Cl)cc1,5.18,Train
CC(=O)N1C[C@@]2(CC[C@H]1C)NC(=O)N(c1cncc3ccccc13)C2=O,4.36,Train
CN1C(=O)N(c2cncc3ccccc23)C(=O)[C@@H]1Cc1ccccc1,4.06,Train
C[C@H]1CC[C@@]2(CN1S(C)(=O)=O)NC(=O)N(c1cncc3ccccc13)C2=O,4.12,Train
Cn1ncc2cncc(NC(=O)[C@H]3CNS(=O)(=O)c4ccc(Cl)cc43)c21,6.06,Train
Cn1ncc2cncc(NC(=O)[C@H]3CNS(=O)(=O)c4ccc(Cl)cc43)c21,5.07,Train
Cn1c(Cc2ccccc2)nn(-c2cncc3ccccc23)c1=O,5.04,Train
CNS(=O)(=O)OCC(=O)N[C@H](C)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,5.76,Train
C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccccc1,5.24,Train
CC(=O)N1C[C@]2(CC[C@H]1C)NC(=O)N(c1cncc3ccccc13)C2=O,4.21,Train
CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)CC23CC3)c2cc(Cl)ccc2C1=O,6.1,Train
C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N(C)c1ccccc1,5.55,Train
Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,8.43,Train
CCCCNC(=O)c1cnc([C@H](NC(=O)CCl)c2cccc(Cl)c2)s1,5.25,Train
CN1C(=O)N(c2cncc3ccccc23)C(=O)[C@H]1Cc1ccccc1,4.06,Train
O=C1C[C@H](Cc2ccccc2Cl)CN1c1cncc2ccccc12,5.14,Train
COc1cccc(CNC(=O)CN2C[C@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3ccccc3C2=O)c1,4.59,Train
O=C1N[C@]2(C[C@@H](c3c(F)cccc3F)C2)C(=O)N1c1cncc2ccccc12,7.06,Train
O=C1N[C@@]2(CC[C@H](c3ccccc3)OC2)C(=O)N1c1cncc2ccccc12,5.2,Train
O=C1N[C@]2(CC[C@H](c3ccccc3)OC2)C(=O)N1c1cncc2ccccc12,5.69,Train
COc1cccc(CNC(=O)CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3ccccc3C2=O)c1,6.31,Train
O=C1C[C@H](Cc2ccccc2)NN1c1cncc2ccccc12,5.16,Train
O=C(NCc1ccccn1)[C@H]1CN(C(=O)COS(=O)(=O)Nc2ccccc2)CCN1S(=O)(=O)c1ccsc1,4.75,Train
CNS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)c2ccsc2)[C@H](C(=O)NCc2ccccn2)C1,4.79,Train
Cc1cncc(CC(=O)Nc2cncc3ccccc23)c1,4.99,Train
O=C(C[C@H]1CCCC(F)(F)C1)Nc1cncc2ccccc12,5.23,Train
COc1ccc(C)cc1CC(=O)Nc1cncc2ccccc12,5.25,Train
Cc1cc(F)cc(CC(=O)Nc2cncc3ccccc23)c1,5.79,Train
O=C1C[C@H](C(=O)Nc2cncc3ccccc23)c2ccccc2N1,4.65,Train
O=C(Cc1cc(F)c(F)cc1F)Nc1cncc2ccccc12,5.69,Train
Cc1ccc(F)c(CC(=O)Nc2cncc3ccccc23)c1,5.29,Train
C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCc1ccnn1C)C(=O)c1ccccc12,5.82,Train
C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCc1ccn(C)n1)C(=O)c1ccccc12,5.59,Train
O=C(Cc1cncc(F)c1)Nc1cncc2ccccc12,5.33,Train
COc1cccc(CNC(=O)CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)c1,7.16,Train
Cc1ccc(F)cc1C(F)(F)C(=O)Nc1cncc2ccccc12,5.0,Train
O=C(Nc1cncc2ccccc12)C(F)(F)c1ccc(F)c(F)c1,5.16,Train
CC(F)(F)[C@H](C(=O)Nc1cncc2ccccc12)c1ccccc1,4.91,Train
O=C(Nc1cncc2ccccc12)C(F)(F)c1cc(F)cc(F)c1,5.53,Train
O=C(Cc1cc(F)ccc1F)Nc1cncc2ccccc12,5.69,Train
O=C(Cc1cccc(F)c1F)Nc1cncc2ccccc12,4.66,Train
O=C(Cc1ccccc1F)Nc1cncc2ccccc12,4.44,Train
CC[C@H](C(=O)Nc1cncc2ccccc12)c1ccccc1,5.03,Train
Cc1cc(F)ccc1C(F)(F)C(=O)Nc1cncc2ccccc12,4.56,Train
C[C@H]1COc2ccccc2[C@H]1C(=O)Nc1cncc2ccccc12,4.71,Train
Cc1ccc(F)cc1CC(=O)Nc1cncc2ccccc12,5.73,Train
O=C(Cc1cc(F)ccc1Cl)Nc1cncc2ccccc12,5.56,Train
Cc1cc2c(cc1C)[C@H](C(=O)Nc1cncc3ccccc13)CO2,5.34,Train
O=C(Nc1cncc2ccccc12)[C@H](CC(F)(F)F)c1cccc(F)c1,5.2,Train
C[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,5.94,Train
COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc(C)c2)cc1,5.78,Test
O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccc2cc[nH]c2c1,6.23,Test
C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.63,Test
C[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.37,Test
C[C@H]1CN(C(=O)Cc2cncc3ccccc23)CCO1,4.09,Test
O=C(Cc1cncc2ccccc12)N1CCn2nccc2C1,4.16,Test
Cc1nc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc2[nH]1,6.47,Test
C[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,5.12,Test
C[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,6.51,Test
O=C(Cc1cncc2ccccc12)N1CCc2c(Cl)cccc2C1,6.39,Test
C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,4.44,Test
COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cnccc2C)cc1,5.44,Test
O=C(Cc1cncc2ccccc12)N1CCCn2nccc2C1,4.11,Test
CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,6.87,Test
CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,5.18,Test
Cc1nc2c(n1C)CCN(C(=O)Cc1cncc3ccccc13)C2,4.4,Test
Cn1cnc2c1CCN(C(=O)Cc1cncc3ccccc13)C2,5.01,Test
CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,5.73,Test
O=C(Cc1cncc2ccccc12)N1CCCCC1,4.22,Test
C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)CCO1,4.35,Test
O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccc2nc[nH]c2c1,6.21,Test
CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.47,Test
CC(F)(F)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.23,Test
O=C(Cc1cncc2ccccc12)N1CCC(C(F)F)CC1,5.92,Test
Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nncs3)c3cc(Cl)ccc3C2=O)n1,8.6,Test
CC(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.33,Test
C[C@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,5.87,Test
Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnc(C)o3)c3cc(Cl)ccc3C2=O)n1,7.75,Test
CCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.04,Test
Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnco3)c3cc(Cl)ccc3C2=O)n1,8.64,Test
CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.66,Test
C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,5.68,Test
Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnc(C(F)(F)F)o3)c3cc(Cl)ccc3C2=O)n1,7.89,Test
O=C(Cc1cncc2ccccc12)N1CCC(C(F)(F)F)CC1,6.55,Test
O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nncs1,8.24,Test
O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nnc(C(F)(F)F)o1,7.67,Test
COCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,4.89,Test
CC(C)C1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.21,Test
CCc1ccc([C@H]2C[C@H](C)CCN2C(=O)Cc2cncc3ccccc23)o1,6.57,Test
Cc1cncc(CC(=O)N2CCc3sccc3C2)c1,5.3,Test
O=C(Cc1cncc2ccccc12)N1CCc2scnc2C1,5.92,Test
CC(C)C1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.13,Test
O=C(Cc1cncc2ccccc12)N1CCc2sccc2C12CCC2,7.14,Test
CC1(CC(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.81,Test
CC(C)[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,7.08,Test
CC(C)CNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,5.35,Test
CC(C)CC1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,7.06,Test
CC(C)NS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,5.51,Test
COC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,5.42,Test
COC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,6.58,Test
CCNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,6.67,Test
O=C(Cc1cncc2ccccc12)N1CC[C@@H]2CCCC[C@@H]2C1,5.82,Test
CN(C)C(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.55,Test
COC(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.49,Test
CNC(=O)C[C@@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.34,Test
CN(C)C(=O)CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.21,Test
CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,5.68,Test
CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.58,Test
C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12,4.37,Test
C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12,4.19,Test
C[C@H]1C[C@H](C(C)(F)F)CCN1C(=O)Cc1cncc2ccccc12,6.2,Test
C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.64,Test
C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,5.33,Test
CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,5.28,Test
CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.34,Test
CC(C)(O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.55,Test
O=C(Cc1cncc2ccccc12)N1CCc2sccc2[C@H]1c1ccccc1,5.65,Test
O=C(Cc1cncc2ccccc12)N1CCc2sccc2[C@H]1c1ccccc1,7.01,Test
CC(C)c1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,4.82,Test
COC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.09,Test
COC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.44,Test
O=C(Cc1cncc2ccccc12)N1CCC[C@H](CF)C1,4.53,Test
CCc1cc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)on1,4.54,Test
COCC1(CC2CC2)CCN(C(=O)Cc2cncc3ccccc23)CC1,4.92,Test
Cc1cccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)c1C,5.36,Test
COC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.14,Test
COCc1cccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)c1,5.06,Test
C#Cc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,4.85,Test
O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccccc1F,5.19,Test
O=C(Cc1cncc2ccccc12)N1CCC[C@H](CCF)C1,5.16,Test
O=C(Cc1cncc2ccccc12)N1CCC[C@H](CCF)C1,4.36,Test
O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccc(F)cc1F,5.26,Test
Cc1cc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)on1,4.49,Test
COc1ccccc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.98,Test
Cn1cncc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.11,Test
Cn1cccc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,5.1,Test
O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1nccs1,4.55,Test
O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1cc(Cl)ccc1F,6.3,Test
CC(C)CC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.94,Test
CC(C)CC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,5.31,Test
C[C@H]1C[C@H](C)CN(C(=O)Cc2cncc3ccccc23)C1,4.28,Test
CC(C)[C@]1(O)CCCN(C(=O)Cc2cncc3ccccc23)C1,4.31,Test
