nonstereo_aromatic_smiles,solubility
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.15
Clc1cccc(Cl)c1Cl,-1.24
COC(C)=O,-3.13
CC(Cl)Cl,-0.84
CC(C)C(=O)C(C)C,-2.74
Cc1ccccc1O,-5.9
O=c1[nH]cc(Br)c(=O)[nH]1,-18.17
C=CCCC,1.68
CCCCC(C)C,2.93
CN1CCN(C)CC1,-7.58
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-3.67
CC(C)C(C)C(C)C,2.56
CN(C)C(=O)c1ccccc1,-9.29
O=[N+]([O-])c1ccccc1,-4.12
COc1ccc(N)cc1,-7.48
Clc1ccc(Cl)c(Cl)c1Cl,-1.34
CC(C)Cc1ccccc1,0.16
Cc1ccccn1,-4.63
Clc1ccccn1,-4.39
C#CCCC,0.01
CCC#N,-3.84
O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83
CI,-0.89
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53
CCCCCCCCC,3.13
Cc1cc(O)ccc1Cl,-6.79
CCl,-0.55
CC(=O)OC(C)OC(C)=O,-4.97
ClC=CCl,-1.17
C=C(c1ccccc1)c1ccccc1,-2.78
Fc1ccccc1,-0.8
Cc1ccc(Br)cc1,-1.39
FC(F)(F)C(Cl)Br,-0.11
Clc1ccc(Cl)cc1,-1.01
CC(C)C(C)C,2.34
Cc1cccc(C)n1,-4.59
OCC(O)C(O)C(O)C(O)CO,-23.62
ClCCOCCCl,-4.23
CCOC(=O)c1ccc(O)cc1,-9.2
c1ccc(Cn2ccnc2)cc1,-7.63
COC(=O)C1CC1,-4.1
COCCOC,-4.84
OCCO,-9.3
FC(F)(F)c1cccc(C(F)(F)F)c1,1.07
CCCc1ccc(O)cc1,-5.21
CCCOCCO,-6.4
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-2.55
CCOCCOCC,-3.54
CCCCCCCC=O,-2.29
CC(Cl)CCl,-1.27
CC1CCCCC1C,1.58
CCCCCCCI,0.27
C=CCCCCC,1.66
Cc1ccc(O)c(C)c1,-6.01
CCCCC(=O)O,-6.16
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-2.33
CS(=O)(=O)Cl,-4.87
COc1cccc(OC)c1O,-6.96
Nc1ccccc1,-5.49
CCc1cccnc1,-4.59
CCCCC#N,-3.52
CC(C)CCOC=O,-2.13
C#CCCCCC,0.6
CCOC(OCC)Oc1ccccc1,-5.23
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-6.78
CC(=O)CO[N+](=O)[O-],-5.99
CCSCC,-1.46
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53
C=C(C)C1CC=C(C=O)CC1,-4.09
N#Cc1ccncc1,-6.02
CCCSCCC,-1.28
CC1CCCO1,-3.3
O=[N+]([O-])c1ccccc1O,-4.58
COc1ccccc1N,-6.12
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.66
CCCCCCCO,-4.21
c1ccc2c(c1)CCC2,-1.46
Cc1ccc2cc(C)ccc2c1,-2.63
C=CC=C,0.56
CC(C)CC(C)O,-3.73
CC(C)C,2.3
CNC(=O)ON=CC(C)(C)SC,-9.84
CCc1cnccn1,-5.45
CS,-1.2
CCc1cccc2ccccc12,-2.4
O=[N+]([O-])OCCO[N+](=O)[O-],-5.73
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-7.43
ClCCCCCl,-2.32
C=CCCCC,1.58
OCc1ccccc1,-6.62
CN(C)c1ccccc1,-3.45
CC(=O)C(C)(C)C,-3.11
COC(F)(F)C(Cl)Cl,-1.12
Clc1ccc2c(c1)Oc1ccccc1O2,-3.1
CCCC(=O)OC,-2.83
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-6.48
CC(C)c1ccccc1,-0.3
CCCCC,2.3
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-2.98
CC(C)(C)c1ccc(O)cc1,-5.91
CC(=O)OCCC(C)C,-2.21
Cc1cc2ccccc2cc1C,-2.78
FC(F)=C(F)C(F)(F)F,2.93
Cn1ccnc1,-8.41
COC(C)(OC)OC,-4.42
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,-3.81
Cc1ccc(N)cc1,-5.57
Sc1ccccc1,-2.55
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-2.16
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-1.96
Cc1cccc(C)c1N,-5.21
COc1ccc(C(=O)N(C)C)cc1,-11.01
CC1CCC(C(C)C)C(=O)C1,-2.53
CC(C)C=O,-2.86
N,-4.29
Cc1cc(C)c2ccccc2c1,-2.47
C=CCCC=C,1.01
CNC,-4.29
COc1c(Cl)ccc(Cl)c1C(=O)O,-9.86
Cc1c[nH]cn1,-10.27
Cc1ccccc1[N+](=O)[O-],-3.58
COCC(OC)(OC)OC,-5.73
CCCCCO,-4.57
COS(=O)(=O)OC,-5.1
COCCO,-6.62
CC1CCCC1,1.59
c1ccc2ncccc2c1,-5.72
CCCCOCCO,-6.25
CCCCCCc1ccccc1,-0.04
CCCOC(=O)CC,-2.44
CCSSCC,-1.64
COc1cc(C)ccc1O,-5.8
CCC(C)(C)C,2.51
Nc1ccccc1[N+](=O)[O-],-7.37
ClC(Cl)=C(Cl)Cl,0.1
CC(C)CCO,-4.42
Cc1cccnc1,-4.77
CCCC[N+](=O)[O-],-3.09
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-9.4
CCCCCCN,-3.95
CCCCCC=CC=O,-3.43
Nc1ccc([N+](=O)[O-])cc1,-9.82
C=C,1.28
c1ccc(Oc2ccccc2)cc1,-2.87
COP(=O)(OC)OC,-8.7
Cc1ccc(C=O)cc1,-4.27
ClC(Cl)C(Cl)Cl,-2.37
COc1c(O)c(OC)c(Cl)c(C=O)c1Cl,-8.68
CC(=O)OCC(COC(C)=O)OC(C)=O,-8.84
CCCOC(=O)c1ccc(O)cc1,-9.37
O=Cc1cccnc1,-7.1
CCC(C)Cl,0.0
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-18.06
CCCCCCCCN,-3.65
CCCCCCI,0.08
Nc1cccc(Cl)c1,-5.82
C1CNC1,-5.56
CC(C)CBr,-0.03
CC(O)C(F)(F)F,-4.16
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-2.28
CCc1ccncc1,-4.73
C1CCNCC1,-5.11
COc1ccc(C(C)=O)cc1,-4.4
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-12.74
CCNc1nc(NC(C)(C)C)nc(SC)n1,-6.68
CC(=O)c1cccnc1,-8.26
FC(F)(F)c1ccccc1C(F)(F)F,1.07
ClC(Cl)(Cl)Cl,0.08
Clc1ccc(Cl)c(-c2ccccc2)c1,-2.46
CN1CCCCC1,-3.88
c1ccc2cc3ccccc3cc2c1,-3.95
CCCC1CCCC1,2.13
CCCc1ccccc1,-0.53
CC(C)COC(=O)C(C)C,-1.69
C1CCNC1,-5.48
C=CCl,-0.59
CC=CC=O,-4.22
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,-7.07
CC1=CCCCC1,0.67
CCCCC(=O)OCC,-2.49
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61
CCC=O,-3.43
ICI,-2.49
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-4.4
COc1c(Cl)cc(Cl)c(OC)c1O,-6.44
CN,-4.55
O=[N+]([O-])OCCO,-8.18
ClC1=C(Cl)C2(Cl)C3C(Cl)CC(Cl)C3C1(Cl)C2(Cl)Cl,-3.44
C1COCCO1,-5.06
Cc1ccc(O)cc1C,-6.5
FC(F)(F)F,3.12
CC(=O)c1ccncc1,-7.62
Clc1cc(Cl)c(Cl)cc1Cl,-1.34
CCCCCC,2.48
FC(F)C(F)Oc1ccccc1,-1.29
CC(C)OC=O,-2.02
CN(C)C(=O)Nc1ccccc1,-9.13
CCCCC(C)CC,2.97
CCOC,-2.1
COCCN,-6.55
COC(=O)CCl,-4.0
C=CC(C)(CCC=C(C)C)OC(C)=O,-2.49
CCOC(C)=O,-2.94
COC(=O)C1CCCCC1,-3.3
CC(=O)OC(C)C,-2.64
CCc1ccccn1,-4.33
Cc1cc(C)cc(O)c1,-6.27
OC1CCCCC1,-5.46
COC,-1.91
c1ccc2c(c1)ccc1ccccc12,-3.88
Oc1cccc2ccccc12,-7.67
CC(C)(C)Cl,1.09
Oc1ccc(Cl)cc1,-7.03
C=CCCl,-0.57
CCCC(C)C,2.51
CCCCCN,-4.09
Brc1ccc(Br)cc1,-2.3
CCCCCCCCl,0.29
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-3.25
O=[N+]([O-])c1cccc(O)c1,-9.62
CCCCCCCN,-3.79
Oc1ccccc1F,-5.29
CCCCCC(N)=O,-9.31
CCC(O)CC,-4.35
Clc1cccc2c1Oc1ccccc1O2,-3.52
NN,-9.3
COc1ccccc1,-2.45
Cc1cccc([N+](=O)[O-])c1,-3.45
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.04
CC(C)O,-4.74
COC(OC)(OC)C(F)(F)F,-0.8
CC1=CC(=O)CC(C)(C)C1,-5.18
CCCCCCCCCC(C)=O,-2.15
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-12.64
COC(=O)c1ccc(OC)cc1,-5.33
CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,-11.95
CCOCCOC(C)=O,-5.31
CC(C)COC=O,-2.22
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-7.78
OCCCc1ccccc1,-6.92
CC(=O)c1ccccc1,-4.58
CC#N,-3.88
CCCOCCC,-1.16
COc1cccc(N)c1,-7.29
CCCOC(C)=O,-2.79
BrC(Br)Br,-2.13
Brc1ccccc1,-1.46
CCCCCCCC(=O)OC,-2.04
Clc1ccccc1,-1.12
CCC(O)C(C)C,-3.88
ClC=C(Cl)Cl,-0.44
CC1=CC(=O)C(C(C)C)CC1,-4.51
O=Cc1cccc(O)c1,-9.52
CSSC,-1.83
CCCBr,-0.56
FC(F)(F)Br,1.79
c1c[nH]cn1,-9.63
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
CCC(=O)O,-6.46
ClCCBr,-1.95
CC(C)(C)Br,0.84
CNc1ccccc1,-4.69
CC=C(C)C,1.31
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,-15.46
Clc1ccc(Cl)c(Cl)c1,-1.12
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-3.51
CCCCCCC=O,-2.67
CCCCNCCCC,-3.24
CCC(C)O[N+](=O)[O-],-1.82
CC(C)(C)c1ccccc1,-0.44
CCCCOC(=O)c1ccc(O)cc1,-8.72
CCCCOCC(C)O,-5.73
CCOC(=O)CC,-2.68
CCCC(O)CC,-4.06
CCC(C)CO,-4.42
O=Cc1ccc(O)cc1,-8.83
C1CCCC1,1.2
CN(C)C=O,-7.81
CC(N)=O,-9.71
Nc1cccc2c1C(=O)c1ccccc1C2=O,-9.44
Oc1cccc(Cl)c1,-6.62
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-4.82
C=CCO,-5.03
CCc1cccc(CC)c1N(COC)C(=O)CCl,-8.21
CCc1ccccc1,-0.79
CC(C)=CCCC(C)=CCO,-4.45
FC(F)(F)CCl,0.06
CCNc1nc(Cl)nc(NCC)n1,-10.22
CCCC(=O)O,-6.35
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61
CCCC#N,-3.64
C#CC,-0.48
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-4.38
FC(F)Cl,-0.5
CC[N+](=O)[O-],-3.71
CC1CCC(C(C)C)C(O)C1,-3.2
CC(=O)CC(C)C,-3.05
CCNCC,-4.07
CCC(N)=O,-9.4
CC(C)CC(C)C,2.83
CCN(CC)CC,-3.22
CC=CCCCC,1.68
CCCCC=O,-3.03
CCCCCOC(C)=O,-2.51
C#CCCCCCC,0.71
CCCCCI,-0.14
Oc1ccc(F)cc1,-6.19
CN1CCOCC1,-6.32
CCCC=O,-3.18
CS(C)=O,-9.28
CC(=O)OCC(C)C,-2.36
CCCCCCC,2.67
CCC(C)C(C)C,2.52
FC(Br)C(F)(F)F,0.5
Cc1cccc(O)c1,-5.49
CC(C)NC(C)C,-3.22
CCCSC(=O)N(CCC)CCC,-4.13
Nc1ccc(Cl)cc1,-5.9
CC(=O)C(C)C,-3.24
Cc1cccnc1C,-4.82
CCCOC=O,-2.48
N#Cc1cccnc1,-6.75
C=CC(=C)C,0.68
CCCCI,-0.25
CC1CCC(C)O1,-2.92
Oc1ccccc1I,-6.2
COC(CC#N)(OC)OC,-6.4
O=Cc1ccncc1,-7.0
CCCCc1ccccc1,-0.4
FC(F)(F)c1ccccc1,-0.25
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,-3.61
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,-4.05
Cc1ccnc(C)c1,-4.86
C1CCOC1,-3.47
Cc1ccccc1C=O,-3.93
C1=CCCC1,0.56
OC1CCCC1,-5.49
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-8.15
Cc1cnccn1,-5.51
CBr,-0.82
C=C(C)C(=C)C,0.4
CNC(=O)Oc1cccc2ccccc12,-9.45
CCCCCCCCBr,0.52
COC(=O)C(F)(F)F,-1.1
CCCCO[N+](=O)[O-],-2.09
CF,-0.22
C,2.0
CSC,-1.61
CC1CCCCC1,1.7
CC=CCC,1.31
COC(=O)CC#N,-6.72
C#CCC,-0.16
CC1CCC(C)CC1,2.11
CCCN,-4.39
C=CCCCCCC,1.92
COS(C)(=O)=O,-4.87
CN(C)C,-3.2
C=CCC=C,0.93
BrCBr,-1.96
Oc1ccc(Cl)c(Cl)c1,-7.29
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-6.74
CCCCCCBr,0.18
CCCCCCC(C)=O,-2.88
Cc1cccc2ccccc12,-2.44
CC(C)Br,-0.48
CCOP(=S)(OCC)SCSCC,-4.37
Cc1ccccc1C,-0.9
Cc1ccc(C)nc1,-4.72
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-3.48
C1CNCCN1,-7.4
OCC1OC(O)C(O)C(O)C1O,-25.47
O=c1[nH]cc(Cl)c(=O)[nH]1,-17.74
c1ccc2c(c1)Cc1ccccc1-2,-3.35
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-4.23
CCCCCCCCC(C)=O,-2.34
ClCCCCl,-1.89
CCOCCO,-6.69
C=C(C)C1CC=C(C)C(O)C1,-4.44
CC(C)[N+](=O)[O-],-3.13
CCC[N+](=O)[O-],-3.34
Cc1cccs1,-1.38
Clc1ccccc1-c1ccccc1,-2.69
C1=CC=CCC=C1,-0.99
CCCCN,-4.24
N#Cc1c(Cl)cccc1Cl,-4.71
CC(CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
COC(C)(C)C,-2.21
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.53
CCC(C)(C)O,-4.43
CCCC(C)CC,2.71
CCc1ccc(C)cc1,-0.95
CCBr,-0.74
CC(C)SC(C)C,-1.21
